AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.258,-0.654,1.181,-0.005,0.147,0.096,0.213,-0.067
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,15.1,9.5,3.5,3.5,3.5,3.5,3.5,3.5
Revenue,15.0,10.2,15.0,14.5,13.8,15.1,13.0,12.9
Shares_Diluted,3.0361,3.0161,3.0288,3.011,3.0107,3.0008,2.9844,3.1353
Total_Assets,188.4,164.6,163.0,161.5,163.3,163.3,150.3,153.3
Total_Liabilities,121.3,101.8,96.7,98.5,101.1,102.8,91.7,94.0
