AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,95.4,100.0,122.3,104.2,109.7,133.7,139.6,144.3,139.0,155.0,167.6
Current_Liabilities,65.9,67.5,93.5,94.0,93.5,132.0,131.2,133.6,114.0,116.1,97.5
Diluted_EPS,0.132,-1.073,1.466,-1.47,-1.854,-8.101,-3.07,0.122,0.401,-8.708,2.015
Goodwill_Intangibles,268.5,272.9,279.7,280.4,284.7,300.2,363.3,366.9,362.2,363.8,423.8
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,518.2,536.0,540.8,603.1,602.7,583.7,583.7,575.0,586.7,621.0,641.2
Revenue,23.6,33.9,24.5,22.3,28.0,43.2,35.5,34.4,35.9,42.7,46.2
Shares_Diluted,31.628,13.183,31.189,11.859,11.772,11.729,11.631,10.377,44.786,7.5629,7.1844
Total_Assets,401.4,412.7,445.6,453.0,465.3,506.1,600.0,634.1,623.0,633.9,711.3
Total_Liabilities,677.0,688.2,714.2,774.8,772.3,788.9,786.2,780.2,777.1,806.6,808.3
