AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,5.8,5.7,6.3,5.9,6.3,3.3,2.7,2.4,2.7,4.0,4.4,4.2,6.4,6.3,6.0,5.4,5.1,4.7,4.6
Current_Liabilities,3.5,3.5,8.5,7.6,8.6,4.9,9.0,8.9,8.7,5.7,5.2,5.7,8.3,8.2,8.6,8.4,7.3,7.2,7.0
Diluted_EPS,0.0,0.0,-0.001,-0.001,0.002,0.0,0.0,0.0,-0.001,0.005,0.001,0.001,-0.001,-0.001,0.001,-0.003,0.0,-0.001,-0.001
Goodwill_Intangibles,5.0,5.1,5.1,5.2,5.2,5.2,5.4,5.5,5.5,5.4,5.5,5.5,5.5,5.6,5.6,5.7,5.7,5.7,5.8
Inventory,0.6,0.7,0.9,0.9,0.9,0.9,0.6,0.7,0.8,0.8,1.2,1.3,3.4,3.4,3.4,3.2,3.1,2.8,2.6
LT_Debt,5.1,5.1,0.7,0.7,0.7,5.4,1.0,1.0,1.5,5.5,5.9,5.8,5.7,6.0,5.2,5.2,5.2,5.1,5.1
Revenue,3.1,3.2,2.8,2.4,2.8,2.3,2.6,2.8,2.0,2.0,2.9,2.2,2.3,2.0,2.3,2.1,2.5,2.5,2.7
Shares_Diluted,515.5668,514.415,514.7897,510.4995,509.7681,502.0121,494.636,460.7982,453.4497,428.1712,433.4424,432.6295,420.692,419.3708,429.6002,419.2305,413.9067,412.6968,412.9346
Total_Assets,16.3,16.2,16.9,16.6,17.1,16.3,15.9,15.8,16.0,17.1,15.0,14.9,17.2,15.3,14.9,14.3,14.1,13.0,12.9
Total_Liabilities,11.8,11.9,12.5,11.7,12.6,13.6,13.2,15.6,15.7,16.5,16.5,16.8,19.3,17.4,17.0,16.7,15.5,14.6,14.3
