AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
Current_Assets,430.2,422.3,529.6,597.9,0.7,1.2,2.3,0.0
Current_Liabilities,14.3,11.4,9.7,11.1,4.1,4.2,1.5,0.3
Diluted_EPS,-0.008,-0.022,-0.386,-0.123,-0.144,-0.054,-0.464,0.0
Goodwill_Intangibles,6.8,6.2,5.8,5.5,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,2.6,2.0,1.6,0.2,0.2,,,
Shares_Diluted,197.214,196.1832,191.833,120.6055,120.0703,37.5,34.9063,37.9063
Total_Assets,617.0,627.5,642.0,626.6,300.8,301.3,302.4,0.3
Total_Liabilities,24.3,37.7,50.8,68.9,55.2,47.7,46.8,0.3
