AAII_QTR_DATA,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,1706.3,2815.7,3040.7,3279.3,3300.3,2304.3,2619.5,2868.7,3179.4,3498.0,3892.1,3910.2,2994.5,2569.3
Current_Liabilities,3327.9,4137.8,3883.2,3726.1,3680.0,3035.7,3030.3,3091.2,3163.8,3333.6,3359.8,3156.6,2988.3,2706.5
Diluted_EPS,-0.332,-0.322,-0.261,-0.238,-0.308,-0.235,-0.29,-0.586,-0.535,-0.7829999999999999,-0.5,-0.381,-0.723,-0.8140000000000001
Goodwill_Intangibles,3352.5,3159.9,2942.4,2708.3,2592.0,2388.0,2185.0,2240.7,2406.5,2583.9,2485.0,2440.3,2404.8,2462.5
Inventory,137.9,162.4,131.8,152.8,153.3,184.7,175.3,212.2,192.1,205.1,184.3,192.6,175.5,158.7
LT_Debt,1873.3,1876.1,1864.4,1875.9,1765.9,1915.2,2010.8,1997.5,2066.6,2043.7,1927.7,1862.8,807.9,41.3
Revenue,1094.0,1123.6,1126.5,1179.8,1104.3,1064.2,1097.4,1132.6,1175.7,1146.1,1114.0,1066.9,1059.9,1042.9
Shares_Diluted,796.4216,798.6312,795.6474,789.5317,744.8563,740.3838,735.9285,726.1473,730.8703,729.9137,728.9504,726.1473,725.1168,581.6245
Total_Assets,6288.4,7298.9,7242.5,7253.1,7134.3,6053.9,6259.6,6446.7,7024.8,7485.1,7872.2,7808.8,6751.1,6216.7
Total_Liabilities,5520.4,6323.5,6054.7,5921.0,5763.8,5267.0,5354.8,5375.8,5523.8,5621.0,5540.3,5285.7,4030.6,2986.4
