AAII_QTR_DATA,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,06/30/2021,04/30/2021,03/31/2021,01/31/2021,12/31/2020,10/31/2020,09/30/2020,07/31/2020,06/30/2020,04/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,,26.1,34.1,60.1,70.7,97.9,29.6,0.5,,0.7,,0.9,,1.0,,1.1,,1.2,1.2,0.1
Current_Liabilities,56.3,47.1,36.4,36.2,24.5,27.9,44.8,2.1,,1.1,,0.2,,0.3,,0.2,,0.2,0.2,0.1
Diluted_EPS,,-0.305,-0.28,-0.334,-0.172,-1.869,-0.405,-0.451,-0.184,0.222,-0.084,-0.422,-0.191,-0.005,-0.169,0.032,-0.1939999999999999,0.217,-0.027,0.0
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,,4.1,6.6,5.4,4.6,2.7,2.3,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,7.0,7.0,6.6,6.7,8.2,6.9,12.5,,6.4,0.0,7.4,0.0,7.0,0.0,7.9,0.0,6.9,0.0,0.0,0.0
Shares_Diluted,,105.033,101.352,99.305,97.8083,87.1784,80.5898,21.5625,,21.5625,,21.5625,,21.5625,,21.5625,,6.744,39.375,15.625
Total_Assets,33.7,39.3,47.7,74.2,81.2,106.2,38.1,173.5,,173.9,,174.1,,174.2,,174.3,,174.3,173.9,0.1
Total_Liabilities,68.4,61.2,52.4,57.5,42.8,47.4,65.2,34.1,,24.7,,29.7,,6.3,,6.3,,6.3,20.7,0.1
