AAII_QTR_DATA,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,182.3,129.7,142.0,155.8,103.5,111.7,2617.1,1510.8,1764.2,1624.3,1999.0,1528.9,1368.1,2000.1,1972.5
Current_Liabilities,161.9,180.0,225.8,253.1,189.7,254.5,1824.1,1056.5,1081.8,1005.6,1046.5,816.0,703.6,1019.7,962.7
Diluted_EPS,2.509,-0.069,-2.536,-1.681,-1.768,1.637,5.191,-1.997,-1.19,0.8590000000000001,-3.963,-2.4019999999999997,-3.1310000000000002,1.955,1.4480000000000002
Goodwill_Intangibles,22.6,21.0,24.5,18.1,11.1,10.0,353.5,206.0,232.3,225.6,253.5,188.9,162.8,219.4,254.6
Inventory,0.8,0.6,0.7,0.6,0.6,0.6,59.6,31.5,12.9,11.4,16.2,13.0,8.0,11.1,12.9
LT_Debt,454.8,440.9,485.3,390.0,352.9,275.7,3959.0,2274.4,2608.4,2831.2,3778.2,2839.6,2443.0,3326.1,3717.9
Revenue,52.7,40.9,32.2,77.7,40.4,22.9,33.0,147.1,58.6,49.5,257.4,700.9,226.7,230.9,257.5
Shares_Diluted,89.0816,80.8899,61.5971,57.8676,57.4892,57.5135,57.1971,57.8676,57.8676,57.8676,58.8515,57.5397,57.5516,57.556,57.8676
Total_Assets,2442.0,2008.3,2272.7,1794.7,1695.1,1697.5,7979.2,4455.2,4965.1,5131.1,6715.8,5208.4,4528.5,6164.6,6954.5
Total_Liabilities,1453.1,1442.5,1641.9,1219.4,1101.3,1101.4,7252.4,4212.0,4625.2,4758.1,6261.9,4728.6,4080.3,5525.0,6144.9
