AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,12756.0,11837.0,11685.0,11559.0,11612.0,10353.0,9998.0,10310.0,10204.0,10034.0,10053.0,11140.0,9955.0,11320.0,12393.0,13042.0,12836.0,11955.0,11823.0
Current_Liabilities,12403.0,11563.0,11239.0,11883.0,11654.0,9987.0,9098.0,9285.0,8740.0,8486.0,8248.0,10304.0,9509.0,9692.0,9070.0,9242.0,13441.0,11653.0,11250.0
Diluted_EPS,0.193,0.171,1.101,0.548,0.016,0.537,0.375,0.798,0.476,0.621,0.598,-0.245,0.281,0.205,0.774,4.79,0.569,0.384,0.8290000000000001
Goodwill_Intangibles,22192.0,22357.0,21969.0,22489.0,22918.0,23891.0,23884.0,24124.0,23383.0,23591.0,23288.0,23123.0,23463.0,23961.0,23810.0,24051.0,24326.0,24371.0,24568.0
Inventory,3048.0,2895.0,2510.0,2574.0,2515.0,2425.0,2057.0,2064.0,1994.0,1913.0,1773.0,1996.0,2030.0,1953.0,1814.0,2050.0,2124.0,2027.0,1819.0
LT_Debt,7832.0,7784.0,7426.0,7194.0,7366.0,7437.0,7506.0,7318.0,7323.0,7469.0,7526.0,5671.0,5640.0,5920.0,6708.0,6804.0,8418.0,9588.0,9623.0
Revenue,6686.0,6068.0,6725.0,6614.0,6098.0,5862.0,6392.0,6341.0,5594.0,5341.0,5954.0,5343.0,5444.0,5576.0,6274.0,6451.0,5779.0,5464.0,6183.0
Shares_Diluted,689.7,690.3,691.2,692.2,702.7,709.5,716.9,719.7,721.3,726.5,737.7,744.0,757.1,774.0,790.6,875.2,905.9,925.2,930.5
Total_Assets,43420.0,42797.0,42158.0,42324.0,42991.0,42222.0,41890.0,42135.0,41180.0,41424.0,40815.0,41278.0,40402.0,42513.0,42287.0,43069.0,48489.0,48016.0,48797.0
Total_Liabilities,27530.0,26751.0,25890.0,26336.0,26455.0,24973.0,24328.0,24295.0,23482.0,23768.0,23368.0,23473.0,22318.0,23184.0,22521.0,22706.0,28453.0,27914.0,27633.0
