AAII_QTR_DATA,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,56.4,56.5,57.6,71.7,78.5,80.6,81.8,84.7,102.5,108.7,114.4,123.6,121.2,133.9,59.7
Current_Liabilities,55.3,55.2,53.4,63.7,68.1,67.1,64.9,25.9,30.4,31.0,26.8,32.3,24.7,27.2,20.0
Diluted_EPS,-0.044,-0.045,-0.037,-0.051,-0.114,-0.056,-0.052,-0.065,-0.054000000000000006,-0.043,-0.019,-0.032,-0.034,-0.015,-0.027000000000000003
Goodwill_Intangibles,0.8,1.0,1.1,1.3,1.4,1.5,1.5,1.7,1.4,1.3,1.4,1.4,0.2,0.1,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,36.1,35.7,34.3,33.6,32.6,32.3,31.5
Revenue,15.0,13.4,13.2,11.3,15.7,16.1,19.4,18.7,28.7,31.3,45.1,36.1,34.1,29.7,24.1
Shares_Diluted,118.488,118.1986,118.1986,117.588,116.7281,116.1917,115.8516,115.7204,116.8117,114.3539,114.4106,114.7551,105.8818,117.8013,117.8013
Total_Assets,88.2,92.8,95.2,108.7,116.6,127.2,130.2,130.9,147.4,150.5,149.0,158.1,149.6,152.6,73.8
Total_Liabilities,56.3,56.4,54.5,65.0,69.0,68.3,66.2,62.2,67.8,68.2,62.8,67.5,58.9,59.5,51.6
