AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,543.7,442.7,518.5,574.5,669.1,479.7,427.7,484.1,569.4,388.6,362.6,457.8
Current_Liabilities,520.9,301.7,351.0,407.4,494.8,298.4,343.2,393.1,470.0,330.9,340.1,420.2
Diluted_EPS,1.036,0.947,0.944,1.189,0.798,0.961,0.937,1.16,0.7909999999999999,0.767,0.88,1.078
Goodwill_Intangibles,1163.5,1160.9,1154.5,1154.7,1151.8,1153.2,1161.1,1158.3,1118.1,1115.5,1113.8,1091.7
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,100.1,200.1,0.1,0.2,0.2,55.2,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,450.3,433.8,422.4,451.8,410.5,429.4,419.1,438.0,393.5,380.4,386.3,392.5
Shares_Diluted,74.209,75.431,76.28,76.713,76.85,76.884,76.935,77.067,77.155,77.286,77.40899999999998,77.53699999999998
Total_Assets,2336.2,2211.5,2286.7,2335.1,2428.5,2229.4,2187.4,2226.0,2184.8,2002.9,1971.8,2033.1
Total_Liabilities,1016.9,896.1,741.5,791.3,878.8,715.6,700.7,749.3,755.8,576.9,579.8,664.5
