AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,4.102,3.571,3.121,2.763,2.632,3.33,3.737,3.779,4.499,3.792,2.924,1.384,0.784,2.571,2.6830000000000003,2.82,2.6460000000000004,1.984,2.342
Goodwill_Intangibles,62090.0,60859.0,60806.0,59360.0,58485.0,56691.0,56566.0,54655.0,54588.0,53428.0,51594.0,51669.0,51867.0,53341.0,53078.0,53302.0,54168.0,54349.0,54697.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,284398.0,284772.0,276375.0,277109.0,282131.0,301005.0,298465.0,299926.0,279427.0,281685.0,279175.0,317003.0,299344.0,291498.0,296472.0,288869.0,290893.0,282031.0,270124.0
Revenue,37004.0,33054.0,25611.0,18646.0,15496.0,15019.0,14480.0,14094.0,14271.0,14550.0,14700.0,16112.0,19161.0,19927.0,21121.0,21603.0,21389.0,19696.0,19840.0
Shares_Diluted,2972.7,2967.3,2965.4,2966.3,2981.0,2981.3,3005.1,3041.9,3078.9,3085.3,3082.8,3081.0,3100.7,3147.6,3207.2,3259.7,3308.2,3347.4,3394.3
Total_Assets,3744305.0,3665743.0,3773884.0,3841314.0,3954687.0,3743567.0,3757576.0,3684256.0,3689336.0,3384757.0,3246076.0,3213115.0,3139431.0,2687379.0,2764661.0,2727379.0,2737188.0,2622532.0,2615183.0
Total_Liabilities,3441223.0,3373411.0,3485866.0,3555171.0,3668788.0,3449440.0,3467535.0,3397870.0,3408622.0,3105403.0,2974963.0,2948649.0,2878169.0,2426049.0,2500313.0,2464164.0,2477351.0,2366017.0,2356227.0
