AAII_QTR_DATA,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,560.2,558.4,543.5,540.5,528.1,555.3,562.2,500.3,492.4
Current_Liabilities,257.3,272.6,262.1,259.1,249.6,274.9,284.7,321.0,280.1
Diluted_EPS,0.664,-0.051,0.247,0.261,0.257,0.291,0.463,0.273,0.19
Goodwill_Intangibles,31.0,31.4,39.9,40.7,41.4,40.3,34.4,34.6,10.9
Inventory,201.5,219.0,199.0,202.4,200.8,203.8,213.2,207.0,188.6
LT_Debt,91.5,91.5,91.5,91.5,91.5,91.5,91.5,0.0,0.0
Revenue,331.7,286.2,293.9,307.1,313.4,318.6,313.5,284.1,265.6
Shares_Diluted,25.27,25.048,25.287,25.33,25.609,25.785,25.568,26.036,26.628
Total_Assets,780.4,774.8,758.3,758.0,739.9,764.1,761.9,700.7,662.9
Total_Liabilities,379.7,395.5,382.9,381.1,370.6,394.3,402.4,348.1,304.0
