AAII_QTR_DATA,06/28/2020,03/29/2020,12/29/2019,09/29/2019,06/30/2019,03/31/2019,12/30/2018,09/30/2018
Current_Assets,745.0,510.3,522.2,515.6,516.0,517.1,494.7,496.6
Current_Liabilities,170.0,180.1,182.7,181.5,188.9,195.3,164.7,172.1
Diluted_EPS,-0.006,-0.002,0.027,0.023,0.036,0.029,0.045,0.016
Goodwill_Intangibles,504.7,504.3,495.1,495.9,491.8,493.8,441.8,443.2
Inventory,66.9,62.7,61.1,68.2,75.4,69.2,46.8,48.6
LT_Debt,334.3,333.9,333.5,333.4,333.3,333.3,294.2,294.0
Revenue,170.4,168.9,185.1,184.1,187.9,160.4,164.4,159.4
Shares_Diluted,108.3,107.2,109.8,109.9,109.4,107.8,103.8,106.4
Total_Assets,1419.2,1183.3,1186.0,1178.3,1173.6,1168.9,1010.1,1011.9
Total_Liabilities,594.7,603.1,611.9,611.6,614.1,616.0,490.8,500.0
