AAII_QTR_DATA,02/03/2023,10/28/2022,07/29/2022,04/29/2022,01/28/2022,10/29/2021,07/30/2021,04/30/2021,01/29/2021,10/30/2020,07/31/2020,05/01/2020,01/31/2020,11/01/2019,08/02/2019,05/03/2019,02/01/2019,11/02/2018
Current_Assets,21442.0,24991.0,22667.0,25611.0,20060.0,24849.0,25083.0,26816.0,22326.0,26916.0,27717.0,21926.0,15318.0,15662.0,16796.0,19335.0,14228.0,15138.0
Current_Liabilities,19511.0,20876.0,20366.0,21831.0,19668.0,20834.0,21664.0,22892.0,18730.0,19564.0,21370.0,18325.0,15182.0,15063.0,15835.0,17781.0,14497.0,15069.0
Diluted_EPS,1.579,0.245,4.668,3.512,1.773,2.73,4.253,3.211,1.32,0.914,3.74,1.763,0.6659999999999999,1.358,2.138,1.3090000000000002,-1.028,0.78
Goodwill_Intangibles,,,,,833.0,846.0,853.0,864.0,311.0,,,,303.0,303.0,303.0,303.0,303.0,1272.0
Inventory,18532.0,19817.0,19329.0,20239.0,17605.0,16685.0,17322.0,18382.0,16193.0,15712.0,13831.0,14283.0,13179.0,13716.0,13730.0,15026.0,12561.0,12365.0
LT_Debt,32876.0,32904.0,28763.0,28776.0,23859.0,23881.0,21967.0,21906.0,20668.0,21185.0,20197.0,20200.0,16768.0,16635.0,16538.0,16542.0,14391.0,14460.0
Revenue,22445.0,23479.0,27476.0,23659.0,21339.0,22918.0,27570.0,24422.0,20311.0,22309.0,27302.0,19675.0,16027.0,17388.0,20992.0,17741.0,15647.0,17415.0
Shares_Diluted,604.0,620.0,639.0,662.0,678.0,692.0,707.0,720.0,738.0,754.0,753.0,756.0,763.0,770.0,781.0,797.0,799.0,807.0
Total_Assets,43708.0,46973.0,46725.0,49725.0,44640.0,49400.0,49404.0,51200.0,46735.0,50880.0,51763.0,45832.0,39471.0,39764.0,40695.0,43219.0,34508.0,36713.0
Total_Liabilities,57962.0,59841.0,55167.0,56602.0,49456.0,50976.0,49579.0,50755.0,45298.0,46807.0,47407.0,44116.0,37499.0,37306.0,38055.0,39983.0,30864.0,31319.0
