AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,23.5,21.0,19.6,17.3,19.6,23.0,20.8,22.6
Current_Liabilities,4.2,4.1,5.0,5.2,4.4,4.3,4.5,3.1
Diluted_EPS,-0.128,-0.14,-0.107,-0.123,-0.277,-0.138,-0.149,-0.116
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,4.0,4.7,3.8,4.6,5.4,6.2,6.9,7.9
Revenue,,,0.0,0.2,0.0,0.0,0.0,0.0
Shares_Diluted,49.7693,41.3476,30.626,24.9119,23.9906,23.383,21.6136,21.2666
Total_Assets,23.5,21.0,19.7,17.3,19.7,23.0,20.9,22.7
Total_Liabilities,10.4,14.4,13.4,9.8,9.8,10.4,11.4,10.9
