AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021
Current_Assets,3790.2,3536.4,2917.1,3012.1,2993.8,2614.2,2380.5,2907.9
Current_Liabilities,5191.1,5088.7,13865.0,13515.8,13308.2,12315.4,10567.4,10987.8
Diluted_EPS,0.0,0.026,-0.027,-0.048,-0.035,-0.251,-0.063,-0.07
Goodwill_Intangibles,1097.1,1080.4,1031.7,1065.5,1162.7,1018.9,1020.0,1090.9
Inventory,505.3,477.8,391.1,341.6,338.2,287.3,274.5,294.8
LT_Debt,5861.1,5979.0,6123.6,6203.1,6068.7,5948.7,5835.4,5244.1
Revenue,2771.6,2711.5,2557.8,2176.2,1916.9,1939.9,1276.0,825.9
Shares_Diluted,606407.7,98530.45,10965.78,10965.78,10965.78,10965.78,10965.78,10965.78
Total_Assets,13439.0,13211.0,13622.6,13757.4,13935.6,13291.5,14438.2,14835.0
Total_Liabilities,13237.2,13168.7,21872.6,21740.8,21487.7,20348.1,18749.7,18485.1
