AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,2505.9,2815.6,2770.6,2503.8,2519.4,2144.9,1626.8,1514.5,1554.3,1553.8
Current_Liabilities,1834.6,2131.9,2185.2,2032.0,1496.2,1257.8,1114.2,1046.5,1209.5,1404.4
Diluted_EPS,0.378,0.256,0.312,-0.57,0.387,0.598,0.528,0.358,0.879,0.368
Goodwill_Intangibles,152.7,154.0,155.3,156.6,,,,,,
Inventory,7.2,9.0,8.5,8.4,16.3,21.2,15.4,8.6,8.6,14.4
LT_Debt,419.1,486.1,456.5,427.2,381.1,335.0,3.9,32.2,23.8,56.3
Revenue,463.0,481.4,451.5,381.6,480.5,486.6,380.5,270.8,384.5,279.1
Shares_Diluted,205.5431,205.4842,205.1702,181.7511,204.2752,184.9318,181.5614,180.8236,180.1586,183.5265
Total_Assets,3105.3,3379.6,3345.3,3088.5,2936.0,2563.4,1959.8,1832.5,1880.9,1885.5
Total_Liabilities,2267.2,2628.6,2653.8,2468.9,1928.7,1644.2,1159.8,1112.2,1261.5,1460.7
