AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,2.251,-0.707,2.227,2.067,1.693,1.674,1.766,2.897,1.451,1.388,1.274,1.2819999999999998,0.72,0.929,0.904,1.725,1.013,0.754,0.851
Goodwill_Intangibles,,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,28.3,28.3,47.5,52.7,52.9,77.8,80.9,81.8,81.8,82.2,77.5,87.2,86.9,88.2,45.2,45.2,45.2,45.2,45.2
Revenue,83.3,80.6,70.1,59.2,51.0,49.1,45.0,79.2,38.1,36.9,35.9,34.2,36.1,36.5,35.5,57.8,27.0,23.3,21.9
Shares_Diluted,11.103,10.933,11.1772,11.1898,11.2233,11.1821,8.8931,8.7648,8.3365,8.4176,8.3932,8.3595,8.3755,8.3367,8.349,8.3445,8.2852,8.311,8.2897
Total_Assets,6310.0,6267.3,6422.1,6867.0,6626.9,7116.4,6141.3,5787.2,4922.8,4330.8,4001.8,3970.4,3612.0,3357.6,3243.2,2960.6,2545.2,2182.6,1930.7
Total_Liabilities,5702.1,5691.4,5839.8,6292.7,6066.9,6559.4,5598.6,5423.6,4574.6,3990.0,3673.2,3653.3,3303.5,3058.4,2952.2,2679.3,2271.4,1918.1,1673.4
