AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,44.0,40.0,29.1,34.7,32.3,29.7,30.8,35.4
Current_Liabilities,84.3,80.5,65.0,103.5,102.5,93.2,94.4,94.4
Diluted_EPS,0.551,0.435,0.466,0.663,0.488,0.394,0.422,0.742
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,5.3,5.3,5.4,5.2,5.4,5.5,5.4,5.6
LT_Debt,237.9,234.8,230.8,228.3,163.6,158.4,152.9,141.1
Revenue,35.3,31.8,32.7,37.8,33.4,30.7,33.3,38.7
Shares_Diluted,17.577,17.552,17.297,16.757,16.675,16.584,16.555,16.55
Total_Assets,950.9,935.3,909.9,887.4,807.6,783.0,767.8,752.8
Total_Liabilities,615.4,605.8,584.0,609.5,541.9,526.4,516.6,505.2
