AAII_QTR_DATA,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018
Current_Assets,9.4,12.3,13.7,18.3,19.1,7.5,27.3
Current_Liabilities,5.1,4.0,9.8,7.5,4.5,3.3,8.4
Diluted_EPS,-0.332,-0.543,-4.248,-1.747,-1.949,-7.752,-24.495
Goodwill_Intangibles,,0.0,1.0,16.5,16.5,16.5,16.5
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.9,0.1,0.1,7.5,0.5,1.2,8.2
Revenue,0.5,0.3,0.3,0.3,0.7,1.9,0.7
Shares_Diluted,12.6593,11.6792,5.4567,4.3156,3.0166,0.6208,0.62
Total_Assets,11.0,13.1,16.0,41.1,38.0,27.2,47.7
Total_Liabilities,6.0,4.1,9.9,15.1,5.0,4.7,16.6
