AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.145,0.153,0.129,-0.039,-0.014,0.152,0.272,0.0,0.161,0.244
Goodwill_Intangibles,12855.0,13061.0,12664.7,13530.6,14386.7,15984.0,13753.1,10262.9,11905.9,11804.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,364647.7,387966.1,342863.8,344187.9,262721.1,252847.6,248829.1,256884.1,265540.4,266427.4
Revenue,5171.1,6078.1,6907.9,8371.9,8604.6,8889.7,8820.8,8831.9,9002.0,8862.3
Shares_Diluted,12844.67,12851.06,12840.9,12841.04,12681.46,12928.98,12922.64,12925.14,13030.64,13081.72
Total_Assets,3175927.4,3146307.2,3087401.4,3039239.6,2839021.8,2839754.9,2824180.6,2809584.3,2915279.1,2907618.7
Total_Liabilities,3026141.9,2997701.6,2942286.2,2894841.8,2688642.5,2688021.7,2675038.8,2663483.5,2765428.6,2753058.1
