AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,10158.2,9573.5,8719.2,8107.9,7988.2,7268.9,7014.4,7034.5,8252.5,8757.6,8286.6,8295.2,8303.5,9116.4,9282.3
Current_Liabilities,7397.9,7234.0,6076.7,4984.7,4911.4,5080.5,4958.1,4758.5,6163.0,6047.3,5596.3,5463.2,4819.2,5104.2,4488.8
Diluted_EPS,0.122,0.109,0.226,0.111,0.128,0.116,0.096,0.067,0.035,0.083,0.093,0.013000000000000001,0.027000000000000003,0.098,0.165
Goodwill_Intangibles,4324.3,4140.3,4066.4,4041.8,5546.5,3857.1,3873.3,3883.3,6133.1,4581.3,3984.7,3333.8,3877.9,3605.2,3628.3
Inventory,3567.5,3222.7,2886.0,2615.5,2313.8,2131.7,2093.8,2206.2,2459.2,2569.8,2416.5,2277.2,2309.3,2563.4,2445.6
LT_Debt,2510.6,2265.4,2648.0,3318.7,3314.2,2911.5,2914.3,3297.1,3280.7,3664.8,2851.2,2076.8,2348.1,2607.3,3128.3
Revenue,3985.5,3873.0,7103.2,3490.3,3378.0,3378.9,3236.4,2627.6,3316.7,3609.6,3552.7,3287.6,3187.8,3482.5,3636.8
Shares_Diluted,2325.18,2338.128,2339.286,2341.86,2342.93,2342.931,2342.934,2342.935,2308.689,2354.344,2354.348,2354.349,2354.354,2354.359,2359.3579999999997
Total_Assets,20976.2,19722.0,18537.3,17791.9,17597.0,16484.7,16212.6,16233.1,18762.8,19456.6,18012.7,16981.1,17012.6,17868.3,17979.6
Total_Liabilities,10888.1,10372.7,9564.6,9127.9,9048.0,8822.0,8673.1,8821.9,10388.8,10650.1,9304.4,8329.2,8011.5,8516.1,8386.7
