AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,740.1,556.0,760.3,634.3,518.3,535.2,609.2,622.3,521.1,500.9,692.6,511.6,510.0,605.2,1049.9,770.1
Current_Liabilities,969.4,882.1,1097.8,1051.4,613.6,416.1,518.7,533.7,902.3,824.3,805.5,446.4,582.0,583.8,998.9,751.0
Diluted_EPS,0.135,0.995,1.155,-0.012,-1.161,1.551,0.841,0.34,-0.20199999999999999,0.77,0.821,0.2,-0.094,0.825,0.97,-0.184
Goodwill_Intangibles,8.8,9.2,9.8,10.6,11.3,11.9,14.9,14.8,11.0,11.4,15.8,14.6,15.3,15.8,23.0,23.4
Inventory,225.8,88.2,262.0,213.2,145.3,93.7,182.1,187.9,142.1,94.2,201.5,184.3,146.7,72.7,256.6,198.5
LT_Debt,2524.6,2319.4,2274.2,2162.2,2221.6,2265.2,2265.0,2259.5,1664.5,1576.7,1537.5,1537.2,1211.8,1179.7,1184.8,1180.6
Revenue,552.3,912.3,675.8,532.5,367.6,802.2,454.3,400.0,299.0,639.6,615.0,479.1,434.9,866.3,811.8,647.3
Shares_Diluted,96.62,96.516,96.356,96.197,96.348,96.618,96.415,96.258,95.764,95.89,92.32,90.258,89.6,89.228,88.946,88.277
Total_Assets,6161.9,5870.0,5981.2,5722.3,5408.6,5425.1,5396.9,5316.5,5282.1,5155.2,5095.2,4373.0,4123.4,4090.0,4477.3,4143.7
Total_Liabilities,4393.2,4085.7,4264.2,4091.4,3726.6,3603.3,3698.7,3672.6,3443.2,3266.1,3267.4,2821.3,2551.2,2520.8,2980.3,2724.7
