AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.077,0.149,0.008,0.122,-0.396,0.243,0.168,0.356,-0.1,0.156,0.375,0.15,0.002,-0.271,-0.031
Goodwill_Intangibles,,224.7,221.6,222.5,226.5,215.6,225.1,234.1,157.2,162.3,168.6,172.2,178.7,191.6,989.7
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,72214.8,69524.2,67828.4,63299.6,63153.6,61347.1,62929.0,61099.8,69859.1,69934.8,72023.2,72029.2,71860.4,73479.5,73018.3
Revenue,3165.8,3149.3,2957.8,3160.3,1778.2,3555.8,3270.9,4009.6,3268.6,4397.5,5222.5,4658.7,4500.1,4340.7,4255.1
Shares_Diluted,3132.987,3162.927,3179.898,3107.456,3060.911,3155.203,3143.092,3121.234,3057.02,3235.719,3360.617,3386.968,3314.516,3341.075,3394.584000000001
Total_Assets,338614.8,352679.8,338103.1,326275.6,331628.5,347819.5,332938.6,324054.1,388958.4,408782.2,415661.7,387472.1,369954.0,428122.6,430469.6
Total_Liabilities,315880.9,330778.3,316777.2,304909.6,310608.0,326029.3,311633.7,302373.9,365501.7,384903.9,391020.0,363214.7,346195.6,402851.3,403890.2
