AAII_QTR_DATA,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018
Current_Assets,39.0,38.6,37.3,33.7,37.2,37.5,35.5,33.2,32.6,36.1,32.0,33.3,32.4,30.8,30.4,30.6
Current_Liabilities,14.2,13.3,11.4,8.5,7.6,8.1,7.3,6.1,4.5,6.7,6.7,7.8,6.7,6.6,6.2,7.7
Diluted_EPS,0.104,0.019,0.46,0.165,0.206,0.133,0.131,-0.194,-0.106,0.019,0.129,0.08900000000000001,0.158,0.14800000000000002,0.158,0.226
Goodwill_Intangibles,11.5,11.6,11.8,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1.0,1.0,1.0,1.1,1.1,1.2
Inventory,13.9,13.0,11.4,11.1,11.3,11.2,9.8,11.0,12.1,11.4,11.3,10.5,10.6,11.3,10.2,9.1
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,19.0,16.7,18.2,15.5,15.4,12.8,12.8,10.0,9.7,13.2,14.6,13.4,14.9,13.3,14.1,14.7
Shares_Diluted,9.5788,9.6834,9.7798,10.0094,9.972,9.8679,9.6446,9.097,9.1,9.4617,9.4076,9.3413,9.3924,9.4479,9.4786,9.4985
Total_Assets,85.2,85.0,83.2,74.4,72.8,71.1,69.2,66.1,64.5,67.8,67.9,67.5,66.2,65.1,63.3,63.5
Total_Liabilities,20.0,18.9,17.0,12.0,11.4,11.7,10.8,9.4,7.9,10.3,10.3,10.9,9.8,9.6,9.2,10.5
