AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,2738.0,2606.0,2633.0,2604.0,2332.0,2061.0,2130.0,2239.0,2333.0,2020.0,2241.0
Current_Liabilities,1467.0,1440.0,1351.0,1393.0,1430.0,1329.0,1261.0,1325.0,1275.0,1278.0,1386.0
Diluted_EPS,1.981,2.142,1.881,0.882,-8.428,0.661,1.364,1.26,0.4,1.548,1.452
Goodwill_Intangibles,2627.0,2656.0,2631.0,2616.0,2614.0,3653.0,3625.0,3693.0,3693.0,3728.0,3759.0
Inventory,854.0,855.0,886.0,951.0,1062.0,1033.0,1031.0,1058.0,1109.0,1072.0,1032.0
LT_Debt,3145.0,3126.0,3126.0,3314.0,3213.0,2986.0,3200.0,3421.0,3727.0,3362.0,3669.0
Revenue,1915.0,1925.0,1904.0,1625.0,1601.0,1692.0,1883.0,1918.0,1667.0,1724.0,1818.0
Shares_Diluted,106.0,108.3,109.5,108.9,108.8,110.4,110.0,109.5,110.1,110.5,110.9
Total_Assets,9560.0,9481.0,9398.0,9370.0,9151.0,10006.0,9955.0,10183.0,10265.0,9771.0,10046.0
Total_Liabilities,5632.0,5580.0,5546.0,5746.0,5664.0,5375.0,5472.0,5778.0,6003.0,5488.0,5881.0
