AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,08/31/2020
Current_Assets,148.3,141.3,168.1,183.5,301.0,61.4,102.4,182.5,231.7,218.5,0.0
Current_Liabilities,38.9,51.0,53.3,45.9,257.0,41.9,57.2,56.4,48.4,42.8,0.0
Diluted_EPS,-0.299,-0.857,-1.372,-0.026,-0.492,-1.49,-0.715,-0.933,-0.086,-0.213,-0.278
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,17.3,17.6,10.8,26.4,25.1,18.6,19.2,25.8,18.4,10.0,
LT_Debt,15.9,13.2,4.8,5.3,4.6,3.9,2.6,3.4,1.8,1.5,0.0
Revenue,3.5,19.2,22.8,12.9,9.2,3.0,3.9,0.8,,,
Shares_Diluted,78.1749,75.7585,75.6159,58.0509,45.4335,37.887,44.4006,44.4006,42.9547,37.9105,0.0778
Total_Assets,998.8,968.2,1007.9,1067.2,937.0,703.1,752.0,800.7,838.6,802.1,0.0
Total_Liabilities,250.4,237.8,214.1,183.2,332.7,118.9,114.1,118.6,112.6,102.6,0.0
