AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,409.6,339.5,420.8,522.7,426.1,258.0,302.1,297.6,365.0,280.9
Current_Liabilities,1519.5,1503.2,592.8,586.6,822.1,569.6,502.1,497.2,425.1,425.0
Diluted_EPS,-0.156,-0.084,-0.288,-0.323,0.032,0.093,-0.144,-0.192,-0.069,-0.105
Goodwill_Intangibles,709.2,784.6,745.0,708.9,659.8,754.4,779.5,780.6,761.3,827.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,118.5,122.3,1072.5,1094.3,792.2,1020.2,1226.9,1307.7,1164.7,1146.1
Revenue,168.9,85.1,90.3,128.8,332.6,276.5,192.4,129.3,269.8,163.4
Shares_Diluted,384.8476,386.2185,387.2053,363.6933,338.6121,338.6121,338.6121,338.6121,338.6121,338.6094
Total_Assets,2093.8,2137.8,2207.8,2335.9,2301.7,2262.4,2371.7,2497.6,2384.8,2397.2
Total_Liabilities,1697.4,1685.2,1734.1,1724.1,1664.6,1646.5,1774.9,1854.1,1663.0,1647.5
