AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,248.7,261.8,255.6,77.7,84.5,,,
Current_Liabilities,13.3,4.6,3.7,207.5,144.8,,,
Diluted_EPS,-0.824,-0.801,-3.869,-2.777,-3.391,-0.048,-0.019,-0.011
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,44.9,45.9,22.8,22.6,22.4,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,25.6144,25.1536,25.3334,24.5265,25.8835,,,
Total_Assets,252.4,263.9,257.2,79.7,84.9,,,
Total_Liabilities,64.0,55.2,29.2,232.2,169.3,,,
