AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,802.0,876.0,688.0,899.0,604.0,622.0,721.0,720.0,736.0,505.0,500.0,416.0,440.0,596.0,643.0,631.0
Current_Liabilities,920.0,931.0,768.0,867.0,856.0,774.0,815.0,924.0,769.0,632.0,519.0,514.0,440.0,731.0,791.0,703.0
Diluted_EPS,0.716,0.67,0.737,0.558,0.357,1.07,0.58,-0.19,0.435,0.904,0.6809999999999999,0.614,0.279,0.8170000000000001,0.546,0.594
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,
Inventory,96.0,72.0,78.0,75.0,74.0,67.0,72.0,86.0,109.0,97.0,96.0,91.0,101.0,81.0,84.0,76.0
LT_Debt,3583.0,3585.0,3558.0,3410.0,3014.0,3014.0,3015.0,2788.0,2808.0,2611.0,2732.0,2464.0,2514.0,2178.0,2178.0,2127.0
Revenue,591.0,626.0,608.0,642.0,537.0,609.0,556.0,547.0,469.0,573.0,548.0,542.0,460.0,573.0,524.0,525.0
Shares_Diluted,89.371,89.527,89.57,89.566,89.672,89.703,89.693,89.509,89.625,89.579,89.571,89.594,89.561,89.309,89.773,89.23899999999998
Total_Assets,9783.0,9723.0,9494.0,9542.0,9099.0,9069.0,9069.0,8869.0,8805.0,8470.0,8394.0,8154.0,7997.0,7948.0,8110.0,7975.0
Total_Liabilities,7045.0,7014.0,6787.0,6867.0,6438.0,6394.0,6456.0,6274.0,6159.0,5832.0,5803.0,5590.0,5455.0,5400.0,5604.0,5489.0
