AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.4,0.4,0.4,0.4,0.3,0.3,0.1,0.1
Diluted_EPS,-37.539,-0.49,-0.56,-0.565,-0.792,-0.735,-0.616,-0.798
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,0.0006,0.0484,0.0484,0.0484,0.0484,0.0489,0.0484,0.0484
Total_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total_Liabilities,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4
