AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,859.2,751.6,668.4,682.4,821.8,692.2,733.0,684.0,759.4,586.6
Current_Liabilities,590.3,527.3,473.6,528.6,664.7,534.5,565.0,537.3,601.9,435.3
Diluted_EPS,0.514,0.639,0.634,0.419,0.143,0.248,0.355,0.28,0.184,0.177
Goodwill_Intangibles,143.1,144.6,145.7,148.6,149.7,133.5,139.5,140.5,140.9,141.6
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,75.2,25.5,33.8,39.8,33.9,13.4,7.2,8.2,0.0,0.0
Revenue,145.0,143.3,133.8,130.2,141.4,134.2,122.2,113.2,120.6,103.2
Shares_Diluted,62.4678,62.4146,37.88,50.1144,62.0731,62.483,62.2255,62.2144,62.1623,61.63399999999999
Total_Assets,1102.3,981.3,912.5,957.4,1077.9,932.1,952.4,916.7,948.6,765.7
Total_Liabilities,683.2,571.9,525.1,585.2,715.9,563.2,586.5,559.4,615.4,447.5
