AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,36070.6,31649.2,33352.1,28047.9,31643.1,,,
Current_Liabilities,38894.3,25506.7,25717.2,22742.7,24419.3,,,
Diluted_EPS,,0.904,,1.146,,0.911,,1.181
Goodwill_Intangibles,23211.4,23421.0,21530.8,21770.7,21073.1,,,
Inventory,7811.1,8422.6,7283.6,6871.5,6130.4,,,
LT_Debt,16276.1,11425.5,10347.2,12646.5,12825.7,0.0,0.0,0.0
Revenue,16649.7,32487.5,16169.8,31095.4,15115.9,29403.6,14881.0,29645.5
Shares_Diluted,,6864.0,,6896.0,,6912.0,,6928.0
Total_Assets,93466.3,88981.2,87210.4,81363.5,84125.5,,,
Total_Liabilities,68672.5,50696.4,50417.0,49462.2,50970.8,,,
