AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.958,0.545,0.0,0.974,0.0,0.0,0.0,-2.979
Goodwill_Intangibles,2909.9,2642.2,2289.2,2170.6,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,3369.5,4613.7,2395.7,2834.8,0.0,0.0,0.0,0.0
Revenue,4781.9,4703.5,6495.3,1406.3,1972.6,1654.8,1624.8,655.4
Shares_Diluted,146.1577,106.2654,106.2654,100.3726,,,,
Total_Assets,37534.6,37752.8,28856.5,21318.9,,,,
Total_Liabilities,37044.1,37422.1,23323.4,17673.8,,,,
