AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,03/31/2019
Current_Assets,855.8,915.8,976.2,639.3,681.3,742.4,770.1,721.9,315.9,338.7,,,
Current_Liabilities,43.9,41.7,24.3,28.5,25.4,16.1,13.6,15.7,12.8,11.5,,,
Diluted_EPS,-0.707,-0.573,-0.657,-0.656,-2.104,-0.468,-1.585,-0.506,-0.308,-0.28600000000000003,-0.307,-0.21899999999999997,-0.163
Goodwill_Intangibles,2.3,2.3,2.3,2.3,2.3,,,,,,,,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,0.4,0.4,0.6,0.7,0.8,1.0,82.7,,,,,,
Shares_Diluted,108.6443,108.2933,102.7475,92.6925,91.9394,90.1976,89.9068,71.2488,86.8757,86.8757,,,
Total_Assets,889.4,949.9,1008.4,671.6,714.4,771.3,799.8,751.7,348.0,370.3,,,
Total_Liabilities,109.8,107.9,110.6,100.5,95.9,38.6,36.5,38.2,35.6,34.8,,,
