AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,669.4,575.8,736.7,412.4,339.7,308.6,289.8,209.1,331.8,467.1,427.8,412.5,459.1,388.5,602.2,422.5
Current_Liabilities,2028.0,2337.3,1152.5,1646.3,925.9,695.4,706.8,630.1,530.3,490.1,566.5,557.4,613.6,670.8,754.8,753.9
Diluted_EPS,1.774,-1.823,3.272,-1.44,-0.645,0.112,-0.125,-2.835,-0.7,0.6890000000000001,-7.269,-0.111,0.465,0.006,-7.154,0.194
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1641.2
Inventory,,,,,,,13.4,20.7,18.9,21.1,17.5,25.9,26.7,25.1,23.0,24.5
LT_Debt,1830.5,1829.7,2707.8,2730.5,3036.7,3055.2,3040.3,3042.1,3165.1,3187.0,3172.9,3134.0,3792.5,3790.6,3836.9,4160.9
Revenue,1465.1,1119.8,1257.3,954.9,684.4,683.9,513.4,424.0,382.8,460.7,587.1,547.8,1466.1,809.9,971.9,845.8
Shares_Diluted,248.65,243.954,269.18,243.311,242.592,242.4845,240.182,239.895,239.472,241.0945,248.246,248.082,248.4525,248.739,246.636,247.166
Total_Assets,6615.1,6560.3,6660.5,6304.2,6229.4,6174.7,6136.9,6012.9,6452.2,6589.6,6612.4,8854.2,9728.3,9635.1,9708.2,11866.1
Total_Liabilities,4637.9,4960.2,4574.8,5122.9,4706.2,4510.8,4499.4,4350.4,4116.4,4115.1,4264.9,4696.0,5546.1,5572.4,5648.7,6048.8
