AAII_QTR_DATA,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,12/31/2019,09/30/2019
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.309,0.207,0.297,0.677,0.4,0.509,0.381,0.236
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,18.6,18.7,16.4,16.8,14.2,11.8,14.8,11.8
Shares_Diluted,,,,,,,,
Total_Assets,651.3,621.4,619.7,639.9,523.9,460.8,516.3,423.7
Total_Liabilities,147.1,143.6,146.2,173.6,126.5,72.6,140.0,128.6
