AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
Current_Assets,6.9,,,,4.4,4.5,5.8,3.1,2.2,2.3,2.8,3.5
Current_Liabilities,9.8,,,,7.2,7.6,9.1,5.4,3.0,2.0,2.0,3.1
Diluted_EPS,,,,,-0.001,-0.002,-0.003,-0.002,-0.001,-0.001,-0.001,-0.002
Goodwill_Intangibles,1.6,,,,2.0,3.3,3.3,0.3,0.3,0.3,,
Inventory,0.9,,,,0.7,1.2,0.8,0.4,0.5,0.5,0.4,0.6
LT_Debt,3.5,0.0,0.0,0.0,3.6,3.6,3.3,3.0,1.6,0.3,0.2,0.1
Revenue,9.9,10.7,9.2,9.0,10.3,10.1,12.2,5.2,5.3,5.3,10.0,5.0
Shares_Diluted,,,,,415.156,436.2809,436.2809,425.6309,425.7134,424.7564,420.1791,402.6004
Total_Assets,11.5,,,,8.6,10.0,11.4,8.1,4.9,3.2,3.5,3.8
Total_Liabilities,13.3,,,,10.8,11.2,12.5,8.5,4.7,2.4,2.3,3.3
