AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,182.7,,,,,,,,0.0
Current_Liabilities,52.6,,,,,,,,0.0
Diluted_EPS,0.011,-0.005,-0.011,-0.017,-0.014,-0.034,-0.014,-0.012,-0.064
Goodwill_Intangibles,4.2,,,,,,,,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,40.0,36.4,32.2,28.5,27.8,25.8,23.8,22.1,20.4
Shares_Diluted,134.7491,,,,,,,,
Total_Assets,193.9,,,,,,,,0.0
Total_Liabilities,54.0,,,,,,,,0.0
