AAII_QTR_DATA,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,49.0,41.5,44.9,54.4,59.4,67.5,45.5,51.8,59.4
Current_Liabilities,9.7,6.5,7.4,8.5,9.1,7.9,7.1,6.1,6.6
Diluted_EPS,-0.19,-0.235,0.369,-0.323,-0.13,-0.673,-0.084,-0.087,-0.182
Goodwill_Intangibles,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,11.2,,,0.0,,,,0.0,0.0
Shares_Diluted,117.886,112.569,111.886,103.991,101.266,80.739,77.458,77.518,77.03
Total_Assets,109.0,101.2,104.7,114.4,119.4,127.6,105.4,111.6,119.3
Total_Liabilities,125.6,103.8,86.2,141.1,116.9,112.2,67.4,67.4,68.9
