AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,35.5,31.6,6.0,6.6,10.0,13.0,15.6,18.8,6.9,3.0,2.2,3.2
Current_Liabilities,13.1,13.1,12.4,5.3,6.7,3.5,5.6,7.9,7.6,2.2,1.1,0.3
Diluted_EPS,0.081,-0.086,-0.207,-0.07,-0.159,-0.035,-0.082,-0.052,-0.295,-0.104,-0.237,0.18
Goodwill_Intangibles,136.4,138.1,56.1,17.5,17.5,12.4,12.4,12.4,12.4,12.4,12.5,12.4
Inventory,9.2,5.6,2.6,2.2,2.0,0.6,0.7,0.4,0.5,0.4,0.5,0.4
LT_Debt,54.3,54.3,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,30.7,19.3,7.9,7.4,5.4,3.2,3.3,5.3,1.8,2.0,2.1,4.7
Shares_Diluted,53.9755,42.6163,41.142,41.5681,41.5681,39.9526,41.5531,35.1159,29.8575,27.8871,17.7527,27.5783
Total_Assets,183.4,181.0,70.7,32.7,36.0,30.0,32.2,35.9,21.4,17.8,18.2,21.0
Total_Liabilities,71.4,71.7,28.9,7.0,8.5,3.6,5.6,8.0,7.7,2.4,1.1,0.3
