AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,255.1,274.3,158.9,27.2,43.5,57.9,86.3,113.5,78.3,101.8,128.6,148.4
Current_Liabilities,22.5,22.8,24.5,14.8,13.2,12.9,18.3,16.8,13.7,14.6,12.5,10.6
Diluted_EPS,-0.166,-0.189,-0.338,-0.44,-0.394,-0.555,-0.664,-0.673,-0.7609999999999999,-0.851,-0.633,-0.551
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.0
Revenue,3.6,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,112.299,89.2672,63.2305,48.2955,48.1631,48.0593,47.9742,43.4676,34.8433,34.7765,34.65,34.539
Total_Assets,265.9,285.3,171.2,40.5,58.0,74.0,103.5,130.9,96.3,120.2,139.6,156.8
Total_Liabilities,27.9,32.3,39.1,18.3,17.3,17.5,23.4,22.4,19.8,21.1,14.4,11.7
