AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021
Current_Assets,9558.2,9346.9,9773.9,9723.6,9085.7,8654.1,8270.6,7980.2
Current_Liabilities,1363.5,1281.5,1390.6,1736.4,1223.1,1114.8,1012.0,963.0
Diluted_EPS,0.283,0.225,0.319,0.417,0.296,0.266,0.242,0.251
Goodwill_Intangibles,119.8,118.2,124.7,118.5,109.6,100.5,98.1,84.1
Inventory,3022.3,2793.2,2651.8,2446.6,2191.6,2023.3,1853.9,1783.4
LT_Debt,36.5,39.5,33.3,30.4,79.6,29.1,31.7,28.7
Revenue,1424.5,1486.9,1517.4,1526.0,1335.4,1326.7,1270.1,1319.6
Shares_Diluted,1297.006,1305.96,1306.8,1306.8,1316.06,1321.5,1321.52,1321.48
Total_Assets,13919.7,13707.0,14174.8,14045.7,12779.0,12277.1,11815.3,11424.0
Total_Liabilities,1657.2,1558.6,1692.5,2056.3,1547.4,1419.4,1306.9,1245.0
