AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.093,0.192,0.288,0.231,0.09,0.186,0.209,0.098,0.12,0.231,0.287,0.28300000000000003,0.115,0.225,0.334
Goodwill_Intangibles,7010.8,7285.2,5804.5,5774.6,5762.3,5845.0,5834.7,5858.0,6661.6,6910.6,7143.6,7227.1,6946.2,6669.8,7921.7
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,223751.6,220868.7,215019.4,210432.3,208437.2,203857.1,196681.3,195573.5,216107.4,178065.4,187573.3,188384.4,179554.9,177244.7,199374.0
Revenue,4296.7,3630.3,3507.3,3448.0,3773.8,3287.6,3498.7,3893.6,4994.2,5567.9,6004.7,5698.7,6003.6,5788.9,6028.6
Shares_Diluted,6856.396,6857.105,6857.175,6855.415,6855.33,6855.36,6855.28,6851.45,6851.165,6851.275,6863.33,6952.41,6982.515,6982.525,6982.255
Total_Assets,2010096.1,1955055.7,1882466.3,1872936.1,1892157.6,1817439.9,1760911.8,1763950.4,1943593.5,1877964.7,1905964.7,1863655.7,1839042.1,1916982.5,1964313.9
Total_Liabilities,1915718.5,1859654.6,1786513.4,1779745.2,1799897.6,1728164.1,1673283.2,1678981.9,1848810.7,1780191.1,1806899.6,1766186.6,1741761.3,1817414.4,1863120.2
