AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,6.4,8.5,10.7,12.8,14.6,16.5,4.8,4.2,6.2,3.0,3.5,5.7,4.4,4.8,6.7,8.8
Current_Liabilities,1.2,0.9,0.9,0.9,0.7,0.5,0.8,0.9,1.2,1.5,1.6,1.2,1.2,1.3,1.2,1.0
Diluted_EPS,-0.21,-0.191,-0.204,-0.185,-0.14,-0.224,-0.493,-0.565,-0.59,-1.695,-1.972,-1.854,-1.865,-2.01,-2.239,-2.716
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,1.0,0.9,1.0,1.0,1.0,0.9,0.9,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.3,1.1
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.1,0.1,0.2,0.2,0.2,0.3,0.3
Revenue,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1
Shares_Diluted,12.2127,12.209,12.2167,12.1903,12.1788,8.137,4.246,3.3988,2.7609,1.6113,1.4157,1.3946,1.2276,1.1759,1.1749,1.0431
Total_Assets,7.2,9.3,11.5,13.7,15.6,17.6,6.0,5.4,7.3,4.2,5.0,6.6,5.4,5.8,7.8,9.9
Total_Liabilities,1.7,1.4,1.5,1.4,1.3,1.8,2.1,2.3,2.4,2.2,2.4,1.4,1.5,1.6,1.4,1.3
