AAII_QTR_DATA,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017,06/30/2017,12/31/2016
Current_Assets,653.7,666.6,683.7,697.3,650.2,655.2,576.0,599.5,551.2,505.1
Current_Liabilities,670.2,571.0,578.8,661.6,673.7,699.4,541.7,660.2,576.7,459.0
Diluted_EPS,0.453,0.286,0.491,0.324,0.498,0.297,0.395,0.315,0.47700000000000004,0.334
Goodwill_Intangibles,621.6,725.1,601.6,724.4,704.4,718.7,682.3,897.1,840.7,808.5
Inventory,45.7,60.0,68.5,90.6,71.4,79.2,56.4,59.2,68.5,66.7
LT_Debt,1024.9,1219.7,1266.8,1164.8,1014.2,974.9,996.3,598.1,504.5,555.3
Revenue,1282.5,1281.8,1283.9,1301.8,1269.7,1251.8,1264.7,1256.8,1313.1,1233.8
Shares_Diluted,372.0,368.8,367.4,367.4,367.2,367.2,366.8,366.8,366.6,366.2
Total_Assets,2935.4,2994.0,3110.3,3051.8,2922.6,2902.6,2743.5,2530.1,2428.6,2297.6
Total_Liabilities,1862.8,1968.4,2058.3,2038.3,1877.0,1849.2,1685.0,1398.1,1224.9,1158.8
