AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,67.0,81.3,82.7,94.8,95.7,105.2,114.0,27.2,1.4,,,
Current_Liabilities,7.8,9.7,8.7,8.5,8.1,13.6,12.5,10.0,1.0,,,
Diluted_EPS,-0.477,-0.023,-0.382,-0.398,-0.228,-0.427,-0.4,-0.733,-0.02,-0.309,-0.247,-0.378
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,12.5,,,,,,,0.0,0.0,0.0,0.0
Shares_Diluted,29.971,34.11,34.968,34.945,34.863,35.0344,35.0274,35.0274,11.934,,,
Total_Assets,74.2,89.4,91.4,104.1,117.7,137.2,150.6,39.3,93.4,,,
Total_Liabilities,11.2,13.4,13.9,14.4,15.0,27.5,26.9,16.5,6.8,,,
