AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,10279.9,10761.9,13901.7,12258.9,10762.6,8126.9,8109.9,7961.8,7512.9,7136.6,6346.6,6499.1,6463.9,7734.2,7667.7,8532.0,7919.3,6660.5,7769.0
Current_Liabilities,9281.9,9527.7,11033.6,10770.8,9142.0,7699.0,8237.2,7635.3,6894.0,8020.8,6466.7,6361.0,7969.2,8226.9,8023.5,8694.4,8999.1,7892.4,8340.8
Diluted_EPS,1.141,1.505,-0.331,2.098,1.521,0.791,0.44,0.428,0.41,-0.084,-0.006,-0.312,-1.801,-1.185,0.531,1.439,0.74,-0.134,0.833
Goodwill_Intangibles,2639.4,2654.9,2605.3,2611.2,2637.9,2608.3,2579.4,2543.1,2583.6,2530.4,2483.3,2372.0,2386.8,2387.6,2439.2,2535.6,2436.7,2343.4,2288.6
Inventory,3872.1,3744.7,3818.0,4274.8,3940.9,3042.9,3019.9,3104.3,2973.7,2750.1,2528.1,2504.7,2127.6,2936.4,2936.9,3095.1,2906.5,2418.5,2814.7
LT_Debt,9409.2,9250.8,11920.5,11465.2,12117.5,12237.4,12268.5,12749.0,13426.1,12506.1,13721.9,14411.9,12788.8,12105.7,12562.8,12994.8,12090.4,10633.9,9994.0
Revenue,8820.6,10305.8,11063.9,11945.7,9874.2,8254.3,7511.0,6781.0,6599.0,5029.6,4886.7,3281.4,5770.6,7407.1,7819.3,8348.0,7153.3,6554.1,8117.8
Shares_Diluted,1331.0,1348.0,1364.0,1410.0,1435.0,1453.0,1477.0,1503.0,1522.0,1526.0,1525.0,1525.0,1528.0,1538.0,1554.0,1572.0,1582.0,1599.0,1628.0
Total_Assets,62750.0,62647.8,62933.6,63935.3,62980.2,61997.0,62301.3,62262.1,63242.0,64336.9,63489.9,65044.6,66572.3,69827.3,74447.7,77585.1,74189.8,68579.9,68377.4
Total_Liabilities,33173.3,33502.0,34676.2,34494.9,34643.7,34889.5,35426.2,35454.4,35622.7,37149.5,35856.1,36711.1,36930.7,37002.6,38407.2,39862.3,38943.5,34890.5,34101.1
