AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,717.0,699.5,697.2,711.0,316.2,169.2,203.6,217.8,153.9,128.9,149.6,166.3
Current_Liabilities,81.5,118.0,101.3,124.0,51.8,41.1,41.7,25.3,20.1,16.8,14.3,10.0
Diluted_EPS,0.214,0.335,-0.276,0.227,-0.583,-0.238,-0.517,-0.409,-0.5710000000000001,-0.738,-0.132,-0.945
Goodwill_Intangibles,95.9,98.5,100.5,102.6,102.6,106.2,106.9,108.1,127.0,127.3,127.8,128.2
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,72.6,34.6,51.4,66.4,16.3,4.7,3.9,1.3,1.2,1.5,1.2,0.2
Shares_Diluted,80.0265,79.1016,74.5212,76.4403,62.2823,60.0082,60.0593,51.8912,48.7496,45.0045,45.6686,45.1421
Total_Assets,904.9,890.6,889.9,908.6,454.3,305.2,336.2,349.5,302.5,277.7,287.7,304.6
Total_Liabilities,492.2,501.8,533.2,543.0,182.9,162.6,182.7,167.9,186.9,182.6,162.4,175.2
