AAII_QTR_DATA,03/31/2021,09/30/2020,03/31/2020,09/30/2019,03/31/2019,09/30/2018,03/31/2018,09/30/2017,03/31/2017,09/30/2016
Current_Assets,1158.4,1128.5,1186.4,1151.8,1075.0,1106.0,1001.9,1035.8,916.9,660.2
Current_Liabilities,1263.1,1159.2,1246.7,1203.1,1195.2,1002.6,939.7,936.7,884.9,730.7
Diluted_EPS,0.776,0.631,-0.177,0.478,0.83,0.775,0.749,0.89,1.055,0.7909999999999999
Goodwill_Intangibles,334.9,335.5,344.6,340.2,328.8,334.4,326.7,343.1,319.6,273.2
Inventory,74.6,61.7,70.7,86.8,92.1,100.6,97.5,116.8,85.9,75.3
LT_Debt,1013.3,992.0,1004.5,860.7,352.0,538.2,520.5,470.2,320.5,247.9
Revenue,1587.2,1555.9,1568.1,1562.0,1546.2,1491.6,1443.0,1441.2,1404.0,1196.6
Shares_Diluted,125.7936,124.415,124.367,127.2204,127.1266,126.1355,128.6959,130.0869,131.1165,131.0689
Total_Assets,4641.8,4428.3,4464.0,4312.7,3850.1,3775.3,3660.8,3611.3,3243.1,2704.4
Total_Liabilities,2360.9,2300.5,2318.5,2162.5,1699.5,1673.4,1700.5,1552.1,1371.7,1157.8
