AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,71.3,70.0,33.8,32.5,37.9,3.2,2.2,5.3
Current_Liabilities,34.0,36.2,53.8,30.2,35.4,15.8,18.9,28.4
Diluted_EPS,-0.012,-0.19,-0.314,-0.026,-0.024,-0.022,0.083,-0.061
Goodwill_Intangibles,2.4,2.3,2.2,2.2,2.1,2.1,2.0,1.9
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,1.3,0.9,0.9,0.4,2.5,0.0,0.0,0.0
Revenue,12.5,0.1,12.5,0.0,12.5,,,0.0
Shares_Diluted,97.5173,97.5173,82.3318,80.4626,60.7649,44.2723,36.3343,31.991
Total_Assets,75.7,73.7,37.4,35.3,40.6,5.3,4.2,7.2
Total_Liabilities,35.3,37.1,54.7,30.7,37.9,15.8,18.9,28.4
