AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,4536.5,4964.7,4707.0,4012.7,3961.8,4216.9,3958.7,3736.5,3384.4,3133.9,2256.8
Current_Liabilities,1483.4,1504.4,1350.9,1320.7,1253.9,1330.2,1195.8,1128.1,982.2,940.9,757.7
Diluted_EPS,0.085,0.111,0.106,0.088,0.083,0.097,0.096,0.087,0.09,-0.081,0.086
Goodwill_Intangibles,3386.3,3057.1,2986.6,2991.5,2938.5,2939.6,2942.0,2947.0,2865.2,2843.3,2610.7
Inventory,2.8,2.8,3.9,4.7,4.1,4.1,5.0,4.2,3.1,5.3,5.3
LT_Debt,848.6,845.0,855.3,9.7,10.2,12.2,13.5,12.7,9.0,0.0,0.0
Revenue,1225.9,1305.9,1186.9,1086.1,988.8,1142.7,1019.5,924.1,875.5,814.0,727.8
Shares_Diluted,1701.795,1687.062,1680.955,1675.076,1675.471,1681.724,1665.904,1674.869,1673.394,1635.451,1635.451
Total_Assets,10670.7,10697.0,10038.3,9143.7,8218.8,8253.6,7824.8,7660.4,7101.9,6727.8,5814.1
Total_Liabilities,2490.3,2511.3,2307.6,1432.7,1345.7,1423.9,1316.3,1248.3,1102.8,1038.3,822.6
