AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,1.724,1.61,1.626,1.439,0.531,1.403,1.336,1.265,1.367,1.23,1.359
Goodwill_Intangibles,97.0,97.4,97.7,97.9,98.3,98.7,99.1,99.5,99.5,99.9,100.3
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,13.3,13.2,17.2,17.1,17.1,21.0,17.0,20.9,20.9,1092.9,1005.3
Revenue,59.8,63.4,64.3,63.4,63.2,64.6,65.8,66.1,64.9,65.3,64.0
Shares_Diluted,14.7576,14.7514,14.7277,14.7148,14.7743,14.7885,14.8876,15.0859,15.1365,15.136,15.1445
Total_Assets,8095.3,7622.2,7794.5,7582.1,6743.1,6725.6,6628.0,6654.4,6738.7,6758.4,6747.0
Total_Liabilities,7386.8,6905.9,7082.4,6885.5,6062.0,6064.0,5969.6,5998.2,6092.9,6139.0,6149.3
