AAII_QTR_DATA,12/31/2020,03/31/2020,12/31/2019,06/30/2019,03/31/2019,12/31/2018,06/30/2018,12/31/2017,06/30/2017
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.003,-0.177,0.036,0.068,-0.07,-0.052,-0.003,0.144,0.051
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,4.5,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,5.6353,5.6353,5.6353,5.6353,,5.0001,,,
Total_Assets,9.0,8.2,8.9,8.4,,8.4,,,
Total_Liabilities,0.1,0.2,0.2,0.0,,0.0,,,
