AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,3420.5,3563.2,3383.3,3434.1,3027.6,2926.8,2913.0,2974.1,2928.0,2725.3,3007.1,2887.3
Current_Liabilities,1944.8,1783.3,1787.6,1741.6,1254.5,1053.2,1005.0,999.9,973.4,987.6,1175.4,1228.7
Diluted_EPS,-0.006,0.023,0.076,0.047,0.007,0.028,-0.047,0.053,0.019,0.019,0.086,0.054000000000000006
Goodwill_Intangibles,315.6,346.7,344.9,340.9,342.5,344.4,341.0,449.4,442.2,412.1,439.5,428.2
Inventory,945.7,868.9,744.0,684.7,574.6,656.7,718.8,635.6,623.0,575.9,622.2,574.3
LT_Debt,2821.6,3266.9,3035.9,3167.9,3231.3,3217.0,2835.5,2910.0,2794.0,2532.5,2398.8,2174.3
Revenue,5518.4,4633.2,4491.1,4016.4,3071.3,4137.3,4577.6,4488.7,4141.1,3682.7,4352.9,4326.4
Shares_Diluted,1088.123,1093.904,1088.813,1095.699,1094.7,1093.226,1092.821,1091.471,1091.43,2130.096,1091.328,1091.336
Total_Assets,6959.0,7248.8,7012.6,7082.6,6594.4,6386.9,6034.8,6151.1,5976.1,5537.9,5657.3,5410.3
Total_Liabilities,5089.4,5394.9,5168.3,5259.5,4830.8,4623.3,4205.1,4277.0,4125.9,3838.1,3904.8,3740.1
