AAII_QTR_DATA,04/04/2020,12/31/2019,09/28/2019,06/29/2019,03/30/2019,12/31/2018,09/29/2018,06/30/2018
Current_Assets,276.0,271.8,266.8,265.2,275.5,275.3,274.4,269.1
Current_Liabilities,243.6,251.6,292.3,251.1,264.2,221.2,270.3,236.1
Diluted_EPS,0.447,0.321,-0.298,0.704,0.609,0.318,0.53,0.622
Goodwill_Intangibles,282.1,284.6,265.4,270.5,254.1,258.9,189.9,126.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,420.9,398.1,326.7,308.1,316.1,348.5,244.3,220.6
Revenue,382.2,375.9,375.5,383.2,377.4,386.4,374.3,365.9
Shares_Diluted,27.223,27.254,28.263,28.385,28.381,28.372,28.392,28.402
Total_Assets,1008.5,988.0,934.7,928.2,919.7,843.1,769.0,687.9
Total_Liabilities,799.8,782.8,736.8,690.8,699.1,633.8,564.2,495.1
