AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.525,0.488,0.684,0.567,0.24,-8.41,0.38,0.383,0.507,0.336,0.364,0.41200000000000003
Goodwill_Intangibles,113.8,115.4,109.0,110.6,114.9,114.2,1921.0,1958.8,1948.6,1969.2,1980.6,1988.2
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,487.3,651.2,1115.0,1331.9,1417.9,1480.6,1269.9,1463.0,1187.4,1315.2,1141.4,1123.4
Revenue,240.8,237.0,255.5,242.3,246.7,268.2,282.0,285.2,281.6,282.3,286.8,276.2
Shares_Diluted,221.022,220.891,220.224,220.418,220.32,220.216,220.674,220.583,220.71900000000002,220.655,220.695,220.62
Total_Assets,30285.0,30036.7,29235.2,29437.4,29645.2,27540.4,28846.8,28930.9,27986.1,27355.6,26939.8,26615.1
Total_Liabilities,27518.6,27354.8,26530.6,26827.2,27106.9,25032.8,24532.9,24641.3,23757.6,23243.3,22883.3,22611.2
