AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,-1.699,-2.554,1.733,-0.207,1.1,0.521,1.331,-1.098
Goodwill_Intangibles,3794.0,3806.0,3919.0,3934.0,3899.0,3920.0,3935.0,3963.0
Inventory,771.0,776.0,859.0,910.0,888.0,910.0,863.0,829.0
LT_Debt,4567.0,4704.0,4087.0,3980.0,3949.0,3904.0,3818.0,3923.0
Revenue,480.0,1010.0,1145.0,1082.0,1043.0,1034.0,1052.0,750.0
Shares_Diluted,41.2,41.5,42.7,43.4,45.2,46.1,49.6,32.8
Total_Assets,9117.0,9432.0,9214.0,9059.0,9023.0,9112.0,9018.0,9013.0
Total_Liabilities,6418.0,6673.0,6195.0,5947.0,5759.0,5766.0,5557.0,5517.0
