AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,530.1,551.9,472.8,460.1,292.8,300.0,261.0,267.6,342.4,344.7,347.7,347.7
Current_Liabilities,958.7,1054.9,746.8,896.0,528.2,385.3,433.1,330.9,368.4,506.3,416.2,395.1
Diluted_EPS,2.144,1.687,2.051,-0.908,2.734,3.098,-0.364,-0.442,-0.451,-8.422,0.009000000000000001,-0.066
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,25.8,23.9,20.1,22.8,28.5,24.6,13.4,17.1,21.5,15.8,29.4,16.2
LT_Debt,1579.3,1436.1,1711.8,1827.4,1841.5,1984.2,2010.4,2153.2,2220.7,2085.3,2017.7,2052.8
Revenue,838.7,786.6,745.1,524.6,395.6,375.5,320.0,274.8,192.8,353.3,423.1,391.9
Shares_Diluted,169.169,168.339,167.981,161.957,165.034,161.397,158.568,158.307,158.189,156.562,157.361,155.254
Total_Assets,6281.6,6199.1,5905.3,5749.6,5407.5,4726.5,4109.1,4126.4,4362.1,4372.3,5866.1,5959.1
Total_Liabilities,3600.1,3870.6,3839.2,4014.3,3545.7,3315.9,3183.7,3147.3,3331.4,3220.0,3412.8,3425.1
