AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
Current_Assets,1.5,2.1,0.4,0.8,1.4,2.0,3.8,0.1
Current_Liabilities,3.3,3.2,2.2,0.4,0.2,0.1,1.6,0.1
Diluted_EPS,0.047,-0.151,-0.077,0.049,-0.077,0.148,-0.089,0.0
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,10.0641,10.0641,24.15,24.15,24.15,24.15,25.1563,25.1563
Total_Assets,53.4,53.7,203.7,204.0,204.7,205.2,207.0,0.1
Total_Liabilities,16.6,17.4,13.4,12.1,13.9,14.0,19.4,0.1
