AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,2358.6,2519.1,2413.6,2288.3,2567.5,1562.8,1066.3,862.3,993.1,772.4,849.6,578.8,377.5,403.0,337.7,377.4,,,
Current_Liabilities,485.3,511.0,308.2,477.9,702.4,341.2,233.7,146.0,361.1,99.1,77.0,54.9,56.4,59.2,44.3,40.7,,,
Diluted_EPS,-1.055,-0.763,1.299,-0.578,3.855,3.926,0.825,0.462,-1.304,-0.83,-0.673,-0.271,-0.713,-4.746,-0.442,-0.5720000000000001,-0.262,-0.241,-0.306
Goodwill_Intangibles,49.6,49.7,49.8,50.0,50.1,50.2,50.4,50.5,50.6,50.8,50.9,52.0,52.3,52.6,52.9,53.2,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.8,0.8,0.9,0.9,0.0,0.0,0.0,0.0
Revenue,63.0,49.4,374.6,,1232.5,812.7,103.6,177.1,2.0,1.7,1.9,67.0,5.7,1.0,1.4,5.7,3.7,3.1,2.9
Shares_Diluted,133.5528,133.161,134.9633,132.45,134.5358,133.7916,133.8544,133.79,129.5304,127.3551,125.8109,114.9807,108.3879,13.4364,109.3972,109.3972,,,
Total_Assets,2665.9,2802.1,2696.0,2619.0,2887.1,1954.3,1210.2,1057.6,1135.6,918.8,943.3,672.2,477.1,512.1,422.6,456.8,,,
Total_Liabilities,695.2,724.1,546.1,667.0,886.1,522.4,333.9,320.3,484.6,201.9,130.9,108.5,96.8,88.1,66.8,57.2,,,
