AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,23335.0,24133.0,22696.0,27409.0,23313.0,21165.0,18790.0,19372.0,17591.0,15844.0,15422.0,12762.0,11465.0,18969.0,17033.0,17811.0,18480.0,17675.0,19891.0
Current_Liabilities,15365.0,17461.0,17237.0,21969.0,19785.0,16851.0,14313.0,14214.0,12307.0,9283.0,8122.0,7300.0,8732.0,13160.0,12130.0,12548.0,12913.0,10724.0,12482.0
Diluted_EPS,8.285,8.139,7.195,11.574,2.211,2.474,1.132,0.393,-1.732,-0.885,-1.143,3.069,-4.539,2.588,1.472,1.463,0.335,2.242,2.002
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,7455.0,6752.0,6628.0,7147.0,7174.0,6265.0,6227.0,6103.0,5881.0,6038.0,5357.0,5420.0,3675.0,7013.0,6376.0,6281.0,6554.0,6532.0,7501.0
LT_Debt,10173.0,10526.0,10570.0,11858.0,11866.0,12606.0,13071.0,13636.0,13930.0,13954.0,14577.0,12090.0,10574.0,9178.0,9170.0,9167.0,9006.0,8871.0,8877.0
Revenue,36439.0,41746.0,44454.0,51641.0,38542.0,35903.0,29520.0,27748.0,20806.0,16604.0,15809.0,10397.0,22102.0,27879.0,27249.0,28933.0,24263.0,28730.0,30849.0
Shares_Diluted,369.0,381.0,390.0,404.0,408.0,407.0,408.0,407.0,407.0,407.0,407.0,407.0,408.0,408.0,413.0,417.0,418.0,422.0,427.0
Total_Assets,60177.0,60982.0,59329.0,64345.0,60402.0,57888.0,54691.0,55456.0,53614.0,51774.0,51732.0,49099.0,47747.0,53864.0,51229.0,52022.0,52095.0,50155.0,51894.0
Total_Liabilities,35200.0,37421.0,37417.0,43376.0,41581.0,39458.0,37215.0,37805.0,35813.0,32973.0,32509.0,29252.0,28905.0,32061.0,30122.0,30677.0,30786.0,28488.0,29984.0
