AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,148.3,234.7,298.6,363.4,54.6,,,,,
Current_Liabilities,104.4,94.7,96.1,122.8,70.0,,,,,
Diluted_EPS,-0.223,-0.297,-0.744,-0.431,-0.53,-0.37,-0.189,-0.082,-0.139,-0.07400000000000001
Goodwill_Intangibles,1.7,0.7,0.9,1.1,1.3,,,,,
Inventory,2.3,2.4,2.7,3.9,5.0,,,,,
LT_Debt,16.0,20.0,24.0,27.7,31.7,0.0,0.0,0.0,0.0,0.0
Revenue,15.3,8.4,12.1,8.5,11.7,4.7,8.4,4.8,6.3,3.9
Shares_Diluted,168.052,162.2448,162.6964,161.9084,161.9084,,,,,
Total_Assets,413.8,448.5,473.9,508.9,182.2,,,,,
Total_Liabilities,209.8,197.8,191.8,205.2,150.8,,,,,
