AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,6.5,9.1,10.0,11.1,14.6,15.8,8.2,9.2,9.7,1.0,0.4,1.0,0.8,1.3,1.8,2.2
Current_Liabilities,2.6,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.6,1.0,0.9,0.4,0.5,0.5,0.4
Diluted_EPS,-1.528,-0.194,-0.139,0.95,-0.184,-0.185,-0.295,-0.179,-1.04,-0.488,-0.23,-0.36,-0.341,-0.273,-0.264,-0.237
Goodwill_Intangibles,10.6,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.2
Inventory,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,1.5,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,4.5,0.2,0.3,0.3,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
Shares_Diluted,8.219,7.1794,7.2095,7.571,7.3919,6.5612,3.9802,5.4881,2.5498,2.2403,2.7039,1.9628,1.9504,1.8818,2.0209,2.0237
Total_Assets,18.1,20.9,21.7,22.6,15.3,16.5,8.8,9.8,10.3,1.6,0.9,1.3,1.2,1.6,2.1,2.4
Total_Liabilities,4.5,0.7,0.5,0.4,0.4,0.5,0.5,0.6,0.5,0.7,1.0,0.9,0.4,0.5,0.5,0.4
